filename
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\001.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\002.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\005.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\006.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\007.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\008.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\009.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\010.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\011.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\012.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\013.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\014.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\001.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\002.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\005.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\006.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\007.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\008.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\009.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\010.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\011.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\012.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\013.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\014.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\001.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\002.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\005.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\006.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\007.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\008.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\009.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\010.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\011.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\012.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\013.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\014.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\001.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\002.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\005.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\006.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\007.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\008.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\009.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\010.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\011.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\012.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\013.nii
C:\Users\malav\OneDrive\Desktop\btp\skull_stripping\New folder\data\target_train_set\014.nii
